company,station,address,Latitude,Longitude
車容坊股份有限公司,板橋新月橋加油站,新北市板橋區環河西路五段368號,25.0227031,121.4491867
台灣中油股份有限公司,林口加油站,新北市林口區中山路1號,25.0774794,121.3969745
柑園加油站有限公司,柑園林口二加油站,新北市林口區中山路27號,25.0781825,121.3954785
車容坊股份有限公司,文化二路加油站,新北市林口區文化二路1段413號,25.0724101,121.3697408
山隆通運股份有限公司,山隆通運股份有限公司林口,新北市林口區文化二路2段553號,25.0904176,121.3835367
台亞石油股份有限公司,台亞林口中山加油站,新北市林口區文化三路2段300號,25.0835082,121.3775381
台亞石油股份有限公司,台亞林口忠孝加油站,新北市林口區忠孝路132號,25.0733054,121.3669613
統一精工股份有限公司,統一精工林口二加油站,新北市林口區粉寮路一段121號,25.0807748,121.3981356
台灣中油股份有限公司,金山加油站,新北市金山區中山路385號,25.224885,121.6337259
新北市金山區農會,金農加油站,新北市金山區環金路462號,25.2247415,121.630347
中泰加油站實業有限公司,中泰加油站,新北市泰山區泰林路2段32號,25.0569777,121.4360928
台灣中油股份有限公司,泰山加油站,新北市泰山區泰林路2段424號,25.0644877,121.427016
永錡加油站股份有限公司,永錡加油站,新北市泰山區泰林路2段47號,25.0575183,121.4354787
車容坊股份有限公司,元泰加油站,新北市泰山區新五路1段135號,25.0741508,121.4365939
全國加油站股份有限公司,全國新五路加油站,新北市泰山區新五路1段89號,25.0741508,121.4365939
台灣中油股份有限公司,泰新加油站,新北市泰山區新北大道5段1號,25.0514239,121.4389443
車容坊股份有限公司,五洲加油站,新北市泰山區新北大道七段2號,25.0323848,121.4195356
全國加油站股份有限公司,全國五股交流道加油站,新北市泰山區楓江路110號,25.0638612,121.4385202
楓江加油站有限公司,楓江加油站,新北市泰山區楓江路88號,25.0634081,121.4369458
台亞石油股份有限公司,台亞貢寮加油站,新北市貢寮區香蘭街2-1號,25.0245409,121.9715154
台灣中油股份有限公司,澳底加油站,新北市貢寮區真理里美艷山街6-2號,25.0687653,121.9240052
濱海加油站股份有限公司,濱海西加油站,新北市貢寮區福連街35號,25.010528,121.98863
濱海加油站股份有限公司,濱海東加油站,新北市貢寮區福連街36號,25.0107385,121.9889732
福隆加油站有限公司,福隆加油站,新北市貢寮區興隆街21-2號,25.0185637,121.9334012
台灣中油股份有限公司,淡水加油站,新北市淡水區中正東路1號,25.168715,121.4454951
永秦企業有限公司,永秦加油站,新北市淡水區中正東路36號,25.1657275,121.4487202
全國加油站股份有限公司,全國淡水加油站,新北市淡水區民權路41號,25.1404462,121.460126
竹圍加油站有限公司,竹圍加油站,新北市淡水區民權路86號,25.1335615,121.4588693
永秦企業有限公司,金滿益加油站,新北市淡水區淡金路101號,25.1644055,121.4569777
車容坊股份有限公司,淡海加油站,新北市淡水區淡金路132號,25.1646446,121.4580692
東來加油站股份有限公司,東來加油站,新北市淡水區淡金路1段69號,25.167163,121.4607974
台灣中油股份有限公司,淡海新市鎮加油站,新北市淡水區淡金路2段599號,25.1920817,121.4463098
北基國際股份有限公司,北基淡金路加油站,新北市淡水區淡金路3段446號,25.2142409,121.4507561
來鵬實業有限公司,新埔加油站,新北市淡水區淡金路4段496號,25.2252693,121.4521565
台亞石油股份有限公司,台亞深坑加油站,新北市深坑區文山路3段110號,24.9987533,121.6064931
正洋加油站實業有限公司,正洋加油站,新北市深坑區文山路3段15號,24.9979005,121.6128653
明志加油站實業股份有限公司,東南加油站,新北市深坑區北深路3段25巷14號,25.0008763,121.609214
坤業加油站有限公司,坤業深坑加油站,新北市深坑區北深路3段7號,25.0007285,121.6105644
莊敬加油站有限公司,莊敬加油站,新北市新店區中正路457號,24.9804253,121.5337306
台灣中油股份有限公司,新店中正路,新北市新店區中正路470號,24.9806901,121.534168
台亞石油股份有限公司,台亞新店中興路加油站,新北市新店區中興路3段131號,24.9790934,121.5444041
台灣中油股份有限公司,新店北新路加油站,新北市新店區北新路1段90號,24.9713158,121.5425806
台灣中油股份有限公司,大豐加油站,新北市新店區北新路2段205號,24.9781203,121.5421072
全國加油站股份有限公司,全國新店安和路加油站,新北市新店區安和路2段121號,24.9717483,121.5190639
五大加油站股份有限公司,安坑加油站,新北市新店區安和路2段192號,24.974459,121.518834
欣欣加油站股份有限公司,欣欣加油站,新北市新店區安和路3段35號,24.9813938,121.5173408
柑園加油站有限公司,柑園碧安加油站,新北市新店區安康路1段20號,24.963133,121.5140801
台亞石油股份有限公司,台亞安坑交流道加油站,新北市新店區安康路1段308號,24.963133,121.5140801
華城加油站有限公司,華城加油站,新北市新店區安康路1段319號,24.963133,121.5140801
台亞石油股份有限公司,台亞碧潭加油站,新北市新店區安康路1段35號,24.963133,121.5140801
車子路加油站股份有限公司,車子路加油站,新北市新店區安康路2段269號,24.9577049,121.5041703
松山加油站股份有限公司,德安加油站,新北市新店區安康路2段362號,24.9573863,121.5015908
五城加油站股份有限公司,五城加油站,新北市新店區安康路3段800號,24.9400865,121.4710046
統一精工股份有限公司,統一精工新店安坑,新北市新店區安康路二段5號,24.9635347,121.5155179
台灣中油股份有限公司,屈尺加油站,新北市新店區新烏路2段202號,24.9164311,121.5475048
統一精工股份有限公司,統一精工新店加油站,新北市新店區環河路116號,24.9674965,121.5371341
台灣中油股份有限公司,寶橋加油站,新北市新店區寶橋路219號,24.97757,121.5491423
台灣中油股份有限公司,新莊加油站,新北市新莊區中正路338號,25.0348314,121.4453277
榮強流通事業股份有限公司,新樹加油站,新北市新莊區中正路501號,25.0332709,121.4405737
永錡中正加油站股份有限公司,永錡中正加油站,新北市新莊區中正路692-8號,25.028354,121.4197262
全國加油站股份有限公司,全國新莊加油站,新北市新莊區中華路2段83號,25.0479047,121.4526368
五工有限公司,五工加油站,新北市新莊區五工路60號,25.0631313,121.4586901
台灣中油股份有限公司,五股工業區加油站,新北市新莊區五工路99-3號,25.06475,121.456031
大全加油站股份有限公司,大全加油站,新北市新莊區五權三路2號,25.061795,121.451072
西歐加油站股份有限公司,民安西路加油站,新北市新莊區民安西路452號,25.0083919,121.4309137
好市多股份有限公司,好市多新莊,新北市新莊區建國一路138-1號,25.027198,121.4341007
台灣中油股份有限公司,新莊大漢橋加油站,新北市新莊區思源路41號之1,25.0397727,121.4597086
全國加油站股份有限公司,全國思源路加油站,新北市新莊區思源路68號,25.0446175,121.4603674
台灣三花加油站股份有限公司,三花新莊加油站,新北市新莊區思源路89號,25.04145,121.459534
興化加油站實業股份有限公司,興化加油站,新北市新莊區復興路3段117號,25.0446746,121.4651683
聯新加油站實業股份有限公司,聯新加油站,新北市新莊區新北大道七段120號,25.0322803,121.4176319
台亞石油股份有限公司,台亞新莊化成路站,新北市新莊區新北大道二段167號,25.0610173,121.4649403
台亞石油股份有限公司,台亞新樹路,新北市新莊區新樹路271號,25.020689,121.4342168
台亞石油股份有限公司,台亞新安加油站,新北市新莊區新樹路294號,25.0069136,121.4326052
興德加油站股份有限公司,興德加油站,新北市新莊區頭前路13號,25.0521695,121.4680023
佳泉加油站有限公司,瑞泉加油站,新北市瑞芳區(魚桀)魚坑路1號,25.1103456,121.7947752
佳泉加油站有份公司,瑞隆加油站,新北市瑞芳區(魚桀)魚坑路356號,25.1029435,121.7853304
台灣中油股份有限公司,瑞芳加油站,新北市瑞芳區中山路200號,25.1069124,121.8014749
台灣中油股份有限公司,海濱加油站,新北市瑞芳區海濱路157-2號,25.121529,121.8286
林長企業股份有限公司,林長加油站,新北市瑞芳區海濱路32-6號,25.1239715,121.831093
豫章濱企業有限公司,豫章濱加油站,新北市瑞芳區瑞濱路67號,25.120687,121.822299
北基國際股份有限公司,基金加油站,新北市萬里區大鵬村萬里加投19-5號,25.2157045,121.6444248
台亞石油股份有限公司,台亞萬里加油站,新北市萬里區萬里加投83號,25.214719,121.644585
台灣中油股份有限公司,萬里加油站,新北市萬里區龜吼里美崙31-1號 ,25.19549148,121.6888154
永錡彭厝加油站股份有限公司,永錡彭厝加油站,新北市樹林區八德街395號,24.9716207,121.4155721
思源加油站企業股份有限公司,思源加油站,新北市樹林區三興路50號,25.0144623,121.3950294
中信加油站實業有限公司,中信加油站,新北市樹林區大安路1-10號,25.0016309,121.4262649
永錡保安加油站股份有限公司,永錡保安加油站,新北市樹林區大安路179號,24.9961322,121.4212601
全國加油站股份有限公司,全國大安路加油站,新北市樹林區大安路2號,25.004714,121.4303147
永錡大安加油站股份有限公司,永錡大安加油站,新北市樹林區大安路576號,24.9840091,121.4118889
新北市樹林區農會,山佳加油站,新北市樹林區中山路3段30號,24.9728381,121.3951994
浮洲實業股份有限公司,浮洲加油站,新北市樹林區中正路105號,25.0009471,121.4249459
樹新企業股份有限公司,樹新加油站,新北市樹林區中正路106號,25.001387,121.4251897
和信加油站實業有限公司,和信加油站,新北市樹林區中正路280-2號,25.0089619,121.416202
台灣中油股份有限公司,三多加油站,新北市樹林區中正路433號,25.008775,121.4155139
永盛加油站有限公司,永盛加油站,新北市樹林區中華路1-1號,24.9840394,121.4251325
統一精工股份有限公司,統一精工樹林加油站,新北市樹林區中華路190號,24.980662,121.412142
車容坊股份有限公司,城林橋加油站,新北市樹林區中華路2號,24.9841383,121.4256851
金樹林加油站有限公司,金樹林加油站,新北市樹林區中華路365號,24.980203,121.414181
車容坊股份有限公司,中華路加油站,新北市樹林區中華路66號,24.9818331,121.4201032
柑園加油站有限公司,柑園加油站,新北市樹林區佳園路2段47號,24.9623788,121.3916527
柑園加油站有限公司,柑園北大加油站,新北市樹林區佳園路3段227號,24.9460652,121.3853078
車容坊股份有限公司,佳園加油站,新北市樹林區佳園路3段9號,24.9551783,121.3884958
台亞石油股份有限公司,台亞俊英加油站,新北市樹林區俊英街280號,25.0134009,121.4239637
福懋興業股份有限公司,福懋樹林加油站,新北市樹林區俊興街298號,25.0178225,121.418698
上順加油站有限公司,上順柑園加油站,新北市樹林區柑園街1段1-2號,24.9569403,121.3985719
台灣中油股份有限公司,樹林加油站,新北市樹林區樹新路207號,24.9995199,121.430115
台灣中油股份有限公司,蘆洲三民路加油站,新北市蘆洲區三民路550號,25.0934514,121.4616011
台灣中油股份有限公司,蘆洲加油站,新北市蘆洲區三民路99號,25.0853572,121.4731219
北基國際股份有限公司,北基蘆洲加油站,新北市蘆洲區中山一路310號,25.0772993,121.4693156
全國加油站股份有限公司,全國蘆洲加油站,新北市蘆洲區中山一路417號,25.0767272,121.4690786
台灣中油股份有限公司,蘆洲中山二路加油站,新北市蘆洲區中山二路309號,25.0771528,121.4688293
裕進加油站有限公司,裕進加油站,新北市鶯歌區八德路1-2號,24.9476188,121.3402344
車容坊股份有限公司,三鶯交流道加油站,新北市鶯歌區三鶯路5號,24.9409246,121.356593
車容坊股份有限公司,板新加油站,新北市鶯歌區三鶯路5號之1,24.9409246,121.356593
峰沅股份有限公司,峰沅加油站,新北市鶯歌區中正一路225號,24.9573941,121.3541855
東林加油站實業股份有限公司,東林加油站,新北市鶯歌區中正一路461-5號,24.9567007,121.3642812
台灣中油股份有限公司,鶯歌加油站,新北市鶯歌區文化路152號,24.950327,121.352077
全國加油站股份有限公司,全國三鶯加油站,新北市鶯歌區文化路669號,24.9463574,121.3527388
車容坊股份有限公司,鳳鳴加油站,新北市鶯歌區鶯桃路412號,24.9641962,121.3333897
台灣中油股份有限公司,鶯桃路加油站,新北市鶯歌區鶯桃路永新巷1號,24.9529349,121.3408237
山隆通運股份有限公司,山隆通運股份有限公司鶯歌加油站,新北市鶯歌區鶯歌路276號,24.971682,121.336632
