sta,dis,add,das,cha,sty,no,Latitude,Longitude
永和仁愛公園停車場,永和區,新北市永和區仁愛路244-1號,公有停車場,不收費,32A,2,25.0100883,121.5062099
網溪國小停車場,永和區,新北市永和區竹林路79號B1~B3 ,公有停車場,不收費,32A,2,25.0130476,121.5194342
汐止智興停車場,汐止區,新北市汐止區忠孝東路1號,公有停車場,不收費,80A,4,25.0641134,121.6570082
坪林水柳腳停車場,坪林區,新北市坪林區水柳腳34-1號,公有停車場,不收費,80A,8,24.9356968,121.7102864
板橋高中停車場,板橋區,新北市板橋區文化路一段25號,公有停車場,不收費,32A,2,25.0122266,121.4588746
板橋國小停車場,板橋區,新北市板橋區文化路一段23號B1,公有停車場,不收費,80A,2,25.0108349,121.4581976
板橋民權立體停車場,板橋區,新北市板橋區民權路89號2F,公有停車場,不收費,80A,2,25.0119923,121.4604758
板橋民生公園停車場,板橋區,新北市板橋區民生路一段30巷B1,公有停車場,不收費,80A,2,25.0133729,121.4759145
板橋台北紙廠停車場,板橋區,新北市板橋區大觀路二段28號,公有停車場,不收費,32A,2,25.0027745,121.444435
板橋華東停車場,板橋區,新北市板橋區南雅南路二段144巷口,公有停車場,不收費,32A,2,24.9956555,121.4508225
板橋特專三停車場,板橋區,新北市板橋區漢生東路53巷對面,公有停車場,不收費,32A,2,25.0171025,121.4664289
板橋萬板橋下停車場,板橋區,新北市板橋區萬板路及縣民大道三段245巷交叉口,公有停車場,不收費,32A,2,25.0262147,121.4812082
板橋重慶公園停車場,板橋區,新北市板橋區重慶路265號,公有停車場,不收費,80A,2,24.999861,121.4637284
新北市立圖書館地下停車場,板橋區,新北市板橋區貴興街139號,公有停車場,不收費,32A,2,25.0013933,121.4550959
新北市民廣場停車場,板橋區,新北市板橋區中山路一段161號,公有停車場,不收費,32A,4,25.0122436,121.4653462
