dis,sta,add,das,state,cha,fee,way,ope,sty,no,Latitude,Longitude
板橋區,大良機車材料行,新北市板橋區民權路220號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0142628,121.458859
板橋區,蘭帝機車有限公司,新北市板橋區實踐路82號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.005243,121.463892
三重區,銘通機車有限公司,新北市三重區重陽路1段104巷5號,機車經銷商,良好,否,不收費,無,是,插頭式,4,25.060918,121.487033
三峽區,長銘車業有限公司,新北市三峽區介壽路1段230號,機車經銷商,良好,否,不收費,無,是,充電座,2,24.9333461,121.3752693
中和區,豪元車業有限公司,新北市中和區連城路135號,機車經銷商,良好,否,不收費,無,是,插頭式,6,24.9989212,121.4960211
中和區,瑞和車業行,新北市中和區景新街230-1號,機車經銷商,良好,是,20元/次,人工計費,是,插頭式,6,24.9941823,121.5084753
板橋區,榮輪車業有限公司,新北市板橋區中正路307號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0197026,121.455095
板橋區,榮德車業有限公司,新北市板橋區四川路二段245巷67號,機車經銷商,良好,否,不收費,無,是,充電座,5,24.9921249,121.452626
板橋區,協泰車業有限公司,新北市板橋區民族路93號1樓,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0086049,121.4665693
板橋區,安全車業有限公司,新北市板橋區長江路3段117號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0345969,121.4751871
板橋區,樺山車業有限公司,新北市板橋區長江路一段51號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0293302,121.4585755
板橋區,華豐機車行,新北市板橋區莊敬路214號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0212524,121.4722526
板橋區,來興車業有限公司,新北市板橋區新海路398號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0266742,121.4588441
新莊區,鎰昇車業有限公司,新北市新莊區中誠街1號,機車經銷商,良好,否,不收費,無,是,充電座,0,25.0480318,121.4523135
新莊區,暐達車業有限公司,新北市新莊區新泰路218號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0390386,121.4468895
新莊區,順豐車業行,新北市新莊區新泰路336號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0421466,121.4449451
蘆洲區,順華車行有限公司,新北市蘆洲區中山一路276號,機車經銷商,良好,否,不收費,無,是,充電座,3,25.0793033,121.4714485
蘆洲區,勝男車業有限公司,新北市蘆洲區復興路284號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0898362,121.4807541
新莊區,東明車業有限公司,新北市新莊區中正路145-15號,機車經銷商,良好,否,不收費,無,是,充電座,3,25.0376001,121.4588296
新莊區,永利機車行,新北市新莊區自信街66號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0480925,121.4555094
新莊區,連陽車業有限公司,新北市新莊區昌平街67號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0535349,121.45449
新莊區,長興機車行,新北市新莊區思源路287巷1弄66號,機車經銷商,良好,否,不收費,無,是,充電座,3,25.0476195,121.4591981
新莊區,萬能機車行,新北市新莊區復興路二段99號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0444197,121.4559622
樹林區,英松機車行,新北市樹林區保安街一段120號,機車經銷商,良好,否,不收費,無,是,插頭式,5,24.995095,121.4234046
蘆洲區,謝氏機車行,新北市蘆洲區中山一路265號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0800177,121.4726852
蘆洲區,裕山機車有限公司,新北市蘆洲區中原路75號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0816086,121.4584294
鶯歌區,弘祥機車有限公司,新北市鶯歌區中正一路20號,機車經銷商,良好,否,不收費,無,是,充電座,2,24.9531561,121.3525969
中和區,福豪車業行,新北市中和區安平路110號,機車經銷商,良好,否,不收費,無,是,插頭式,6,24.9974333,121.5117635
板橋區,旺昇機車行,新北市板橋區國光路180號1樓,機車經銷商,良好,否,不收費,無,是,充電座,3,25.0182479,121.4607778
板橋區,祥達車業有限公司,新北市板橋區大智街22號,機車經銷商,良好,是,50元/次,人工計費,是,插頭式,3,25.0150274,121.4556833
三重區,泓發車行有限公司,新北市三重區三和路三段160號一樓,機車經銷商,良好,否,不收費,無,是,充電座,4,25.0729376,121.4928743
三重區,新泰機車行,新北市三重區下竹圍街24號,機車經銷商,良好,否,不收費,無,是,插頭式,2,25.075523,121.480806
三重區,新輪車業行,新北市三重區中華路54號,機車經銷商,良好,否,不收費,無,是,充電座,4,25.0619381,121.4833869
三重區,昇達車業有限公司,新北市三重區中興北街42巷8號,機車經銷商,良好,否,不收費,無,是,充電座,4,25.0491927,121.4693689
三重區,鴻福機車行,新北市三重區永福街237號,機車經銷商,良好,否,不收費,無,是,插頭式,2,25.0743049,121.4806243
三重區,昆輝機車行,新北市三重區自強路二段76號,機車經銷商,良好,否,不收費,無,是,插頭式,4,25.0702313,121.4880697
三重區,展立機車行,新北市三重區後竹圍街243號,機車經銷商,良好,否,不收費,無,是,充電座,4,25.0714446,121.4839677
三重區,昱安車業行,新北市三重區頂崁街199號,機車經銷商,良好,否,不收費,無,是,插頭式,4,25.066753,121.4775957
